EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	40817578
Shares Outstanding: 870750000
Expense Ratio: 0.69%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EEM


Holding,Symbol,Weighting
Infraestructura Energetica Nova SAB de CV,IENOVA*,0.0409%
Daelim Industrial Co Ltd,000210,0.0408%
Hyundai Motor Co,005385,0.0408%
Indocement Tunggal Prakarsa Tbk PT,INTP,0.0406%
CJ Corp,001040,0.0406%
Investec Ltd,INL,0.0404%
National Bank of Greece SA,ETE,0.0404%
Mahindra and Mahindra Financial Services Ltd,MMFS,0.0403%
Hyprop Investments Ltd,HYP,0.0403%
Indofood Sukses Makmur Tbk PT,INDF,0.0403%
Bosch Ltd,BOS,0.0403%
Exxaro Resources Ltd,EXX,0.0402%
Ezdan Holding Group QSC,ERES,0.04%
Bumrungrad Hospital PCL,BH-R,0.04%
Marico Ltd,MRCO,0.04%
TravelSky Technology Ltd,696,0.0399%
Acer Inc,2353,0.0399%
Hyundai Marine & Fire Insurance Co Ltd,001450,0.0397%
Haci Omer Sabanci Holding AS,SAHOL,0.0397%
Britannia Industries Ltd,BRIT,0.0397%
Novatek Microelectronics Corp,3034,0.0396%
Rand Merchant Investment Holdings Ltd,RMI,0.0395%
CCC SA,CCC,0.0391%
Sino-Ocean Group Holding Ltd,3377,0.039%
MISC Bhd,MISC,0.039%
Eclat Textile Co Ltd,1476,0.039%
Grupo Argos SA,GRUPOARGOS,0.0389%
Beijing Capital International Airport Co Ltd,694,0.0388%
Shanghai Fosun Pharmaceutical Group Co Ltd,2196,0.0386%
China Galaxy Securities Co Ltd,6881,0.0384%
Asustek Computer Inc,AKCPF,0.0383%
WPG Holdings Ltd,3702,0.0382%
Krung Thai Bank PCL,KTB-R,0.0381%
Weichai Power Co Ltd,2338,0.038%
Wistron Corp,3231,0.038%
KCC Corp,002380,0.038%
Charoen Pokphand Indonesia Tbk PT,CPIN,0.0379%
Havells India Ltd,HAVL,0.0376%
Kingboard Chemical Holdings Ltd,148,0.0376%
Shree Cement Ltd,SRCM,0.0376%
Sinopec Shanghai Petrochemical Co Ltd,338,0.0374%
3SBio Inc,1530,0.0374%
Aluminum Corp of China Ltd,2600,0.0373%
Air China Ltd,753,0.0372%
Airtac International Group,1590,0.0371%
Huaneng Renewables Corp Ltd,958,0.037%
Compania Cervecerias Unidas SA,CCU,0.037%
WIN Semiconductors Corp,3105,0.0369%
NH Investment & Securities Co Ltd,005940,0.0368%
