VEU: Vanguard FTSE All-World ex-US ETF
Inception Date: 2007-03-08
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	23584679
Shares Outstanding: 433701000
Expense Ratio: 0.11%
Tracks This Index: FTSE All-World ex US Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VEU


Holding,Symbol,Weighting
Celltrion Inc,068270,0.0925%
Baloise Holding Ltd,BALN,0.0923%
Secom Co Ltd,9735,0.0921%
Powszechna Kasa Oszczednosci Bank Polski SA,PKO,0.0918%
Pembina Pipeline Corp,PPL,0.0917%
Kubota Corp,6326,0.0915%
Credicorp Ltd,BAP,0.0913%
Barrick Gold Corp,ABX,0.0913%
Tenaga Nasional Bhd,TENAGA,0.0912%
Teva Pharmaceutical Industries Ltd,TEVA,0.0909%
Hellenic Telecommunications Organization SA,HTO,0.0908%
Renault SA,RNO,0.0908%
Waste Connections Inc,WCN,0.0901%
Hindustan Unilever Ltd,HUVR,0.0899%
West Japan Railway Co,9021,0.0896%
Daiwa House Industry Co Ltd,1925,0.0894%
Sika AG,SIK,0.0891%
UPM-Kymmene Oyj,UPM,0.0891%
B3 SA Brasil Bolsa Balcao,B3SA3,0.089%
PetroChina Co Ltd,857,0.0888%
AP Moeller - Maersk A/S,MAERSK.B,0.0883%
Nice Ltd,NICE,0.0874%
Singapore Telecommunications Ltd,Z74,0.0873%
CIMB Group Holdings Bhd,CIMB,0.0871%
Hirose Electric Co Ltd,6806,0.0869%
Telekomunikasi Indonesia (Persero) Tbk Perusahaan Perseroan PT,TLKM,0.0868%
Formosa Plastics Corp,1301,0.0867%
Relx NV,REN,0.0867%
Capgemini SE,CAP,0.0866%
Grupo Financiero Banorte SAB de CV,GFNORTEO,0.0865%
SSE PLC,SSE,0.0861%
Sky PLC,SKY,0.086%
Itausa Investimentos Itau SA,ITSA4,0.086%
Maruti Suzuki India Ltd,MSIL,0.0858%
Swiss Life Holding AG,SLHN,0.0856%
Assa Abloy AB,ASSA.B,0.0853%
