IWB: iShares Russell 1000 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	19214742
Shares Outstanding: 131050000
Expense Ratio: 0.15%
Tracks This Index: Russell 1000 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWB


Holding,Symbol,Weighting
NVR Inc,NVR,0.0422%
CA Inc,CA,0.0422%
Molson Coors Brewing Co,TAP,0.0422%
Viacom Inc,VIAB,0.0421%
Whirlpool Corp,WHR,0.0421%
Qurate Retail Inc,QRTEA,0.0418%
Mid-America Apartment Communities Inc,MAA,0.0414%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0412%
Huntington Ingalls Industries Inc,HII,0.0411%
Copart Inc,CPRT,0.041%
Bunge Ltd,BG,0.041%
Steel Dynamics Inc,STLD,0.0408%
F5 Networks Inc,FFIV,0.0407%
BorgWarner Inc,BWA,0.0403%
Verisign Inc,VRSN,0.0403%
Chipotle Mexican Grill Inc,CMG,0.0402%
Universal Health Services Inc,UHS,0.0401%
Targa Resources Corp,TRGP,0.0401%
IDEX Corp,IEX,0.0399%
East West Bancorp Inc,EWBC,0.0397%
J B Hunt Transport Services Inc,JBHT,0.0397%
Nasdaq Inc,NDAQ,0.0396%
Perrigo Company PLC,PRGO,0.0396%
Duke Realty Corp,DRE,0.0393%
Alliant Energy Corp,LNT,0.0392%
Alcoa Corp,AA,0.0391%
Hasbro Inc,HAS,0.039%
Spirit AeroSystems Holdings Inc,SPR,0.0389%
Arch Capital Group Ltd,ACGL,0.0388%
PTC Inc,PTC,0.0387%
Hormel Foods Corp,HRL,0.0386%
Iron Mountain Inc,IRM,0.0385%
Fidelity National Financial Inc,FNF,0.0385%
Mosaic Co,MOS,0.0385%
UDR Inc,UDR,0.0384%
Keysight Technologies Inc,KEYS,0.0384%
Torchmark Corp,TMK,0.0382%
Lululemon Athletica Inc,LULU,0.0381%
Macy's Inc,M,0.038%
Alliance Data Systems Corp,ADS,0.038%
Atmos Energy Corp,ATO,0.038%
SS&C Technologies Holdings Inc,SSNC,0.0376%
Lamb Weston Holdings Inc,LW,0.0376%
Michael Kors Holdings Ltd,KORS,0.0375%
WellCare Health Plans Inc,WCG,0.0375%
Qorvo Inc,QRVO,0.0375%
Amdocs Ltd,DOX,0.0373%
Everest Re Group Ltd,RE,0.0373%
DaVita Inc,DVA,0.0372%
Reinsurance Group of America Inc,RGA,0.0372%
ON Semiconductor Corp,ON,0.0372%
LKQ Corp,LKQ,0.0372%
Burlington Stores Inc,BURL,0.0371%
Voya Financial Inc,VOYA,0.0369%
Avery Dennison Corp,AVY,0.0369%
CF Industries Holdings Inc,CF,0.0368%
Advanced Micro Devices Inc,AMD,0.0368%
Vail Resorts Inc,MTN,0.0364%
Juniper Networks Inc,JNPR,0.0364%
Cimarex Energy Co,XEC,0.0363%
NRG Energy Inc,NRG,0.0362%
VMware Inc,VMW,0.0361%
Aramark,ARMK,0.0358%
Sirius XM Holdings Inc,SIRI,0.0358%
Interpublic Group of Companies Inc,IPG,0.0357%
Pinnacle West Capital Corp,PNW,0.0357%
Chemours Co,CC,0.0357%
Western Union Co,WU,0.0357%
IAC/InterActiveCorp,IAC,0.0356%
Jack Henry & Associates Inc,JKHY,0.0354%
Unum Group,UNM,0.0353%
Affiliated Managers Group Inc,AMG,0.0352%
Regency Centers Corp,REG,0.0349%
A. O. Smith Corp,AOS,0.0348%
Leidos Holdings Inc,LDOS,0.0347%
SL Green Realty Corp,SLG,0.0344%
Tractor Supply Co,TSCO,0.0344%
First Data Corp,FDC,0.0343%
NiSource Inc,NI,0.0343%
Trimble Inc,TRMB,0.0342%
IPG Photonics Corp,IPGP,0.034%
Ingredion Inc,INGR,0.0339%
Snap-On Inc,SNA,0.0337%
UGI Corp,UGI,0.0336%
SEI Investments Co,SEIC,0.0334%
Advance Auto Parts Inc,AAP,0.0332%
Federal Realty Investment Trust,FRT,0.0331%
Sensata Technologies Holding PLC,ST,0.033%
PulteGroup Inc,PHM,0.0329%
Fluor Corp,FLR,0.0328%
Fortinet Inc,FTNT,0.0328%
L Brands Inc,LB,0.0328%
Old Dominion Freight Line Inc,ODFL,0.0327%
Fortune Brands Home & Security Inc,FBHS,0.0327%
GoDaddy Inc,GDDY,0.0326%
Marvell Technology Group Ltd,MRVL,0.0325%
AES Corp,AES,0.0323%
Sealed Air Corp,SEE,0.0316%
CDK Global Inc,CDK,0.0316%
PerkinElmer Inc,PKI,0.0315%
Macerich Co,MAC,0.0314%
Alleghany Corp,Y,0.0312%
STERIS plc,STE,0.0311%
Leucadia National Corp,LUK,0.0311%
Microsemi Corp,MSCC,0.031%
Orbital ATK Inc,OA,0.031%
Veeva Systems Inc,VEEV,0.0309%
Alnylam Pharmaceuticals Inc,ALNY,0.0307%
Westar Energy Inc,WR,0.0306%
Camden Property Trust,CPT,0.0305%
Coty Inc,COTY,0.0305%
American Financial Group Inc,AFG,0.0304%
Pentair PLC,PNR,0.0304%
Alaska Air Group Inc,ALK,0.0303%
Marketaxess Holdings Inc,MKTX,0.0303%
Jones Lang LaSalle Inc,JLL,0.0303%
FLIR Systems Inc,FLIR,0.0301%
Westinghouse Air Brake Technologies Corp,WAB,0.0299%
Tyler Technologies Inc,TYL,0.0299%
Vistra Energy Corp,VST,0.0298%
Liberty Media Corp,LSXMK,0.0296%
Arconic Inc,ARNC,0.0296%
Garmin Ltd,GRMN,0.0296%
Cognex Corp,CGNX,0.0295%
Robert Half International Inc,RHI,0.0295%
Graco Inc,GGG,0.0295%
Nordson Corp,NDSN,0.0295%
Equity LifeStyle Properties Inc,ELS,0.0293%
Jacobs Engineering Group Inc,JEC,0.0291%
DISH Network Corp,DISH,0.0291%
Helmerich and Payne Inc,HP,0.0291%
AGNC Investment Corp,AGNC,0.0291%
Lennox International Inc,LII,0.029%
Liberty Broadband Corp,LBRDK,0.0289%
HD Supply Holdings Inc,HDS,0.0288%
Parsley Energy Inc,PE,0.0288%
Allegion PLC,ALLE,0.0287%
Owens Corning,OC,0.0285%
KAR Auction Services Inc,KAR,0.0284%
Neurocrine Biosciences Inc,NBIX,0.0284%
Servicemaster Global Holdings Inc,SERV,0.0284%
Kilroy Realty Corp,KRC,0.0284%
Campbell Soup Co,CPB,0.0283%
Qiagen NV,QGEN,0.0283%
Great Plains Energy Inc,GXP,0.0282%
W. R. Berkley Corp,WRB,0.0282%
Signature Bank,SBNY,0.0281%
Sun Communities Inc,SUI,0.0281%
FactSet Research Systems Inc,FDS,0.0279%
Berry Global Group Inc,BERY,0.0279%
WPX Energy Inc,WPX,0.0278%
Gaming and Leisure Properties Inc,GLPI,0.0277%
Middleby Corp,MIDD,0.0275%
Herbalife Nutrition Ltd,HLF,0.0274%
Pinnacle Foods Inc,PF,0.0274%
Ultimate Software Group Inc,ULTI,0.0273%
US Foods Holding Corp,USFD,0.0273%
CIT Group Inc,CIT,0.0272%
Zebra Technologies Corp,ZBRA,0.0272%
Invitation Homes Inc,INVH,0.027%
Harley-Davidson Inc,HOG,0.0269%
WP Carey Inc,WPC,0.0269%
PacWest Bancorp,PACW,0.0269%
Xerox Corp,XRX,0.0268%
Teradyne Inc,TER,0.0267%
Cullen/Frost Bankers Inc,CFR,0.0267%
Gap Inc,GPS,0.0266%
OGE Energy Corp,OGE,0.0266%
VEREIT Inc,VER,0.0265%
Alkermes Plc,ALKS,0.0264%
WABCO Holdings Inc,WBC,0.0264%
Discovery Inc,DISCK,0.0264%
WEX Inc,WEX,0.0264%
Zayo Group Holdings Inc,ZAYO,0.0263%
Axalta Coating Systems Ltd,AXTA,0.0263%
Carlisle Companies Inc,CSL,0.0262%
Service Corporation International,SCI,0.026%
RSP Permian Inc,RSPP,0.0258%
Arrow Electronics Inc,ARW,0.0257%
Guidewire Software Inc,GWRE,0.0257%
Energen Corp,EGN,0.0257%
RPM International Inc,RPM,0.0256%
Aqua America Inc,WTR,0.0255%
Gentex Corp,GNTX,0.0255%
Lazard Ltd,LAZ,0.0254%
BWX Technologies Inc,BWXT,0.0254%
DexCom Inc,DXCM,0.0253%
Liberty Property Trust,LPT,0.0252%
Reliance Steel & Aluminum Co,RS,0.025%
ManpowerGroup Inc,MAN,0.025%
Apartment Investment and Management Co,AIV,0.025%
People's United Financial Inc,PBCT,0.0249%
Polaris Industries Inc,PII,0.0248%
HanesBrands Inc,HBI,0.0247%
Brown & Brown Inc,BRO,0.0246%
Crown Holdings Inc,CCK,0.0246%
Toro Co,TTC,0.0246%
Eaton Vance Corp,EV,0.0245%
JetBlue Airways Corp,JBLU,0.0245%
Teledyne Technologies Inc,TDY,0.0245%
West Pharmaceutical Services Inc,WST,0.0245%
Synovus Financial Corp,SNV,0.0244%
Goodyear Tire & Rubber Co,GT,0.0242%
News Corp,NWSA,0.0242%
Toll Brothers Inc,TOL,0.0241%
DCT Industrial Trust Inc,DCT,0.0241%
Vectren Corp,VVC,0.0239%
Douglas Emmett Inc,DEI,0.0237%
Exelixis Inc,EXEL,0.0236%
