IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	58547655
Shares Outstanding: 880000000
Expense Ratio: 0.08%
Tracks This Index: MSCI EAFE Investable Market Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Makita Corp,6586,0.0331%
SES SA,SESG,0.033%
Zalando SE,ZAL,0.033%
voestalpine AG,VOE,0.0329%
Hammerson PLC,HMSO,0.0329%
NTT Data Corp,9613,0.0328%
Oriental Land Co Ltd,OLCLF,0.0327%
Trelleborg AB,TREL.B,0.0326%
Schroders PLC,SDR,0.0325%
Lundin Petroleum AB,LUPE,0.0324%
Osaka Gas Co Ltd,9532,0.0324%
Banco Bpm SpA,BAMI,0.0323%
Odakyu Electric Railway Co Ltd,9007,0.0322%
Kyowa Hakko Kirin Co Ltd,4151,0.0321%
Sumitomo Metal Mining Co Ltd,5713,0.0321%
Spirax-Sarco Engineering PLC,SPX,0.032%
Dai Nippon Printing Co Ltd,7912,0.0319%
Orica Ltd,ORI,0.0318%
Suez SA,SEV,0.0318%
Daifuku Co Ltd,DAIUF,0.0318%
Fortescue Metals Group Ltd,FMG,0.0317%
Admiral Group PLC,ADM,0.0317%
K&S AG,SDF,0.0316%
Merlin Properties SOCIMI SA,MRL,0.0314%
Iss A/S,ISS,0.0314%
East Japan Railway Co,EJPRF,0.0314%
G4S PLC,GFS,0.0313%
Bankia SA,BKIA,0.0313%
Bellway PLC,BWY,0.0313%
Asahi Glass Co Ltd,5201,0.0311%
CyberAgent Inc,CYAGF,0.031%
Sartorius AG,SRT3,0.0309%
Kose Corp,4922,0.0308%
Yaskawa Electric Corp,YASKF,0.0308%
Nissan Chemical Industries Ltd,4021,0.0307%
Japan Post Bank Co Ltd,7182,0.0306%
Genting Singapore PLC,G13,0.0305%
