IWD: iShares Russell 1000 Value ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	35545888
Shares Outstanding: 298400000
Expense Ratio: 0.2%
Tracks This Index: Russell 1000 Value Index
ETFdb.com Category: Large Cap Value Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWD


Holding,Symbol,Weighting
Old Republic International Corp,ORI,0.04%
Autodesk Inc,ADSK,0.04%
Gaming and Leisure Properties Inc,GLPI,0.0399%
Stericycle Inc,SRCL,0.0399%
Popular Inc,BPOP,0.0398%
Hanover Insurance Group Inc,THG,0.0397%
AXIS Capital Holdings Ltd,AXS,0.0396%
SCANA Corp,SCG,0.0395%
H & R Block Inc,HRB,0.0395%
Medical Properties Trust Inc,MPW,0.0394%
Foot Locker Inc,FL,0.0393%
Hologic Inc,HOLX,0.0393%
Howard Hughes Corp,HHC,0.0392%
Trinity Industries Inc,TRN,0.0392%
Arris International PLC,ARRS,0.0391%
Renaissancere Holdings Ltd,RNR,0.0391%
Kirby Corp,KEX,0.039%
VICI Properties Inc,VICI,0.0389%
Prosperity Bancshares Inc,PB,0.0389%
Hudson Pacific Properties Inc,HPP,0.0388%
Avnet Inc,AVT,0.0388%
Patterson-UTI Energy Inc,PTEN,0.0385%
Jabil Inc,JBL,0.0385%
Cypress Semiconductor Corp,CY,0.0379%
Brixmor Property Group Inc,BRX,0.0377%
Genesee & Wyoming Inc,GWR,0.0376%
Highwoods Properties Inc,HIW,0.0375%
Qorvo Inc,QRVO,0.0374%
Aptargroup Inc,ATR,0.0373%
Envision Healthcare Corp,EVHC,0.0373%
Associated Banc-Corp,ASB,0.0372%
ITT Inc,ITT,0.0371%
Ashland Global Holdings Inc,ASH,0.0371%
United Therapeutics Corp,UTHR,0.0368%
SVB Financial Group,SIVB,0.036%
STORE Capital Corp,STOR,0.036%
Madison Square Garden Co,MSG,0.036%
PBF Energy Inc,PBF,0.0358%
National Fuel Gas Co,NFG,0.0356%
BankUnited Inc,BKU,0.0354%
Crane Co,CR,0.0354%
Nuance Communications Inc,NUAN,0.0353%
