IJR: iShares Core S&P Small-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	37959903
Shares Outstanding: 484700000
Expense Ratio: 0.07%
Tracks This Index: S&P SmallCap 600 Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJR


Holding,Symbol,Weighting
MiMedx Group Inc,MDXG,0.105%
Shutterstock Inc,SSTK,0.1044%
Red Robin Gourmet Burgers Inc,RRGB,0.1042%
Ruth's Hospitality Group Inc,RUTH,0.1041%
CONSOL Energy Inc,CEIX,0.104%
United Fire Group Inc,UFCS,0.104%
William Lyon Homes,WLH,0.1038%
Universal Health Realty Income Trust,UHT,0.1025%
CryoLife Inc,CRY,0.1015%
Coca-Cola Bottling Co Consolidated,COKE,0.1008%
Marten Transport Ltd,MRTN,0.1006%
Veeco Instruments Inc,VECO,0.1003%
Dean Foods Co,DF,0.0996%
Briggs & Stratton Corp,BGG,0.0993%
Consolidated Communications Holdings Inc,CNSL,0.0987%
Aegion Corp,AEGN,0.0984%
Northfield Bancorp Inc,NFBK,0.0979%
Central Pacific Financial Corp,CPF,0.0975%
CIRCOR International Inc,CIR,0.0974%
Axcelis Technologies Inc,ACLS,0.0974%
SunCoke Energy Inc,SXC,0.0971%
CEVA Inc,CEVA,0.0971%
Lydall Inc,LDL,0.0954%
ADTRAN Inc,ADTN,0.0951%
INTL FCStone Inc,INTL,0.0948%
Heidrick & Struggles International Inc,HSII,0.0946%
Comtech Telecommunications Corp,CMTL,0.0945%
P H Glatfelter Co,GLT,0.0944%
EZCORP Inc,EZPW,0.0944%
AngioDynamics Inc,ANGO,0.0941%
Hersha Hospitality Trust,HT,0.0939%
CalAmp Corp,CAMP,0.0938%
Green Plains Inc,GPRE,0.0937%
HomeStreet Inc,HMST,0.0937%
Investment Technology Group Inc,ITG,0.0932%
HighPoint Resources Corp,HPR,0.0929%
Petmed Express Inc,PETS,0.0929%
Cutera Inc,CUTR,0.0924%
Echo Global Logistics Inc,ECHO,0.0905%
Pennsylvania Real Estate Investment Trust,PEI,0.0903%
Super Micro Computer Inc,SMCI,0.0903%
Anika Therapeutics Inc,ANIK,0.0897%
Universal Electronics Inc,UEIC,0.0896%
AMAG Pharmaceuticals Inc,AMAG,0.0893%
Ultra Clean Holdings Inc,UCTT,0.089%
World Acceptance Corp,WRLD,0.0889%
New York Mortgage Trust Inc,NYMT,0.0889%
Supervalu Inc,SVU,0.0874%
TimkenSteel Corp,TMST,0.0869%
American Public Education Inc,APEI,0.0868%
Amphastar Pharmaceuticals Inc,AMPH,0.0867%
Buckle Inc,BKE,0.0866%
Quality Systems Inc,QSII,0.0866%
Fossil Group Inc,FOSL,0.0862%
Donnelley Financial Solutions Inc,DFIN,0.0861%
