Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
AMBA,"Ambarella Inc",48.95,"Ambarella Inc",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
AMBC,"Ambac Financial Grp",16.93,"Ambac Financial Grp",NASDAQ,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
AMBR,"Amber Road Inc",9.42,"Amber Road Inc",NYSE,"Internet - Software","Computers and Technology",N/A,N/A,N/A,N/A
AMC,"Amc Entertainment Holdings Inc",16.3,"Amc Entertainment Holdings Inc",NYSE,"Leisure & Recreation Services","Consumer Discretionary",N/A,N/A,N/A,N/A
AMED,"Amedisys Inc",66.25,"Amedisys Inc",NASDAQ,"Medical - Outpatient & Hm Care",Medical,N/A,N/A,N/A,N/A
AMKR,"Amkor Technology",8.59,"Amkor Technology",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
AMN,"Amn Healthcare Services Inc",51.9,"Amn Healthcare Services Inc",NYSE,"Medical Services",Medical,N/A,N/A,N/A,N/A
AMNB,"American Natl Bksh",39.3,"American Natl Bksh",NASDAQ,"Banks - Southeast",Finance,N/A,N/A,N/A,N/A
AMOT,"Allied Motion Tech",46.1,"Allied Motion Tech",NASDAQ,"Industrial Controls","Computers and Technology",N/A,N/A,N/A,N/A
AMPH,"Amphastar Pharma",18.77,"Amphastar Pharma",NASDAQ,"Medical - Generic Drugs",Medical,N/A,N/A,N/A,N/A
AMRC,"Ameresco Inc",11.45,"Ameresco Inc",NYSE,"Electrical Construction",Utilities,N/A,N/A,N/A,N/A
AMSF,"Amerisafe Inc",58,"Amerisafe Inc",NASDAQ,"Insurance - Accident & Health",Finance,N/A,N/A,N/A,N/A
AMSWA,"Amer Software Inc",13.2,"Amer Software Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
AMWD,"Amer Woodmark Cp",81.8,"Amer Woodmark Cp",NASDAQ,Furniture,"Consumer Discretionary",N/A,N/A,N/A,N/A
ANAB,"Anaptysbio Inc",93.63,"Anaptysbio Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ANCX,"Access National Corp",27.43,"Access National Corp",NASDAQ,"Banks - Southeast",Finance,N/A,N/A,N/A,N/A
