Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
COG,"Cabot Oil & Gas Corp",23.43,"Cabot Oil & Gas Corp",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
COL,"Rockwell Collins",132.54,"Rockwell Collins",NYSE,"Aerospace - Defense Equipment",Aerospace,N/A,N/A,N/A,N/A
COO,"Cooper Companies",226.56,"Cooper Companies",NYSE,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
COP,Conocophillips,66.86,Conocophillips,NYSE,"Oil - US Integrated",Oils-Energy,N/A,N/A,N/A,N/A
COST,"Costco Wholesale",195.19,"Costco Wholesale",NASDAQ,"Retail - Discount",Retail-Wholesale,N/A,N/A,N/A,N/A
COTY,"Coty Inc",16.07,"Coty Inc",NYSE,"Cosmetics & Toiletries","Consumer Staples",N/A,N/A,N/A,N/A
CPB,"Campbell Soup Company",41.02,"Campbell Soup Company",NYSE,"Food - Misc & Diversified","Consumer Staples",N/A,N/A,N/A,N/A
CRM,"Salesforce.Com Inc",125.12,"Salesforce.Com Inc",NYSE,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
CSCO,"Cisco Systems Inc",45.3,"Cisco Systems Inc",NASDAQ,"Computer - Networks","Computers and Technology",N/A,N/A,N/A,N/A
CSX,"CSX Corp",59.97,"CSX Corp",NASDAQ,"Transportation - Rail",Transportation,N/A,N/A,N/A,N/A
CTAS,"Cintas Corp",175.23,"Cintas Corp",NASDAQ,"Uniform & Related","Industrial Products",N/A,N/A,N/A,N/A
CTL,Centurylink,18.49,Centurylink,NYSE,"Wireless National",Utilities,N/A,N/A,N/A,N/A
CTSH,"Cognizant Tech Sol",82.17,"Cognizant Tech Sol",NASDAQ,"Business Software Services","Computers and Technology",N/A,N/A,N/A,N/A
CTXS,"Citrix Systems Inc",105.23,"Citrix Systems Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
CVS,"CVS Corp",63.1,"CVS Corp",NYSE,"Retail - Drug Stores",Retail-Wholesale,N/A,N/A,N/A,N/A
CVX,"Chevron Corp",125.53,"Chevron Corp",NYSE,"Oil - International Integrated",Oils-Energy,N/A,N/A,N/A,N/A
CXO,"Concho Resources Inc",152.75,"Concho Resources Inc",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
D,"Dominion Resources",65.57,"Dominion Resources",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
DAL,"Delta Air Lines Inc",52.34,"Delta Air Lines Inc",NYSE,"Transportation - Airline",Transportation,N/A,N/A,N/A,N/A
DE,"Deere & Company",137.3,"Deere & Company",NYSE,"Machinery - Farm","Industrial Products",N/A,N/A,N/A,N/A
DFS,"Discover Financial Services",70.87,"Discover Financial Services",NYSE,"Finance - Consumer Loans",Finance,N/A,N/A,N/A,N/A
DG,"Dollar General Corp",95.55,"Dollar General Corp",NYSE,"Retail - Discount",Retail-Wholesale,N/A,N/A,N/A,N/A
DGX,"Quest Diagnostics Inc",101.5,"Quest Diagnostics Inc",NYSE,"Medical - Outpatient & Hm Care",Medical,N/A,N/A,N/A,N/A
DHI,"D.R. Horton",44.71,"D.R. Horton",NYSE,"Building - Residential & Comm",Construction,N/A,N/A,N/A,N/A
DHR,"Danaher Corp",100.2,"Danaher Corp",NYSE,"Conglomerates - Div Operations",Conglomerates,N/A,N/A,N/A,N/A
DIS,"Walt Disney Company",101.15,"Walt Disney Company",NYSE,"Media Conglomerates","Consumer Discretionary",N/A,N/A,N/A,N/A
DISCA,"Discovery Comm A",23.16,"Discovery Comm A",NASDAQ,"Broadcast - Radio & TV","Consumer Discretionary",N/A,N/A,N/A,N/A
DISCK,"Discovery Comm Inc",21.88,"Discovery Comm Inc",NASDAQ,"Broadcast - Radio & TV","Consumer Discretionary",N/A,N/A,N/A,N/A
DISH,"Dish Network Corp",33.39,"Dish Network Corp",NASDAQ,"Cable TV","Consumer Discretionary",N/A,N/A,N/A,N/A
DLR,"Digital Realty Trust",106.39,"Digital Realty Trust",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
DLTR,"Dollar Tree Inc",93.61,"Dollar Tree Inc",NASDAQ,"Retail - Discount",Retail-Wholesale,N/A,N/A,N/A,N/A
DOV,"Dover Corp",91.51,"Dover Corp",NYSE,"Machinery - General Industrial","Industrial Products",N/A,N/A,N/A,N/A
DPS,"Dr Pepper Snapple Group Inc",118.71,"Dr Pepper Snapple Group Inc",NYSE,"Beverages - Soft","Consumer Staples",N/A,N/A,N/A,N/A
DRE,"Duke Realty Corp",27.92,"Duke Realty Corp",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
DRI,"Darden Restaurants",92.83,"Darden Restaurants",NYSE,"Retail - Restaurants",Retail-Wholesale,N/A,N/A,N/A,N/A
DTE,"Dte Energy Company",104.68,"Dte Energy Company",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
DUK,"Duke Energy Corp",79.88,"Duke Energy Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
DVA,"Davita Healthcare Partners Inc",66.38,"Davita Healthcare Partners Inc",NYSE,"Medical - Outpatient & Hm Care",Medical,N/A,N/A,N/A,N/A
DVN,"Devon Energy Corp",37.87,"Devon Energy Corp",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
DWDP,"Dowdupont Inc",64.47,"Dowdupont Inc",NYSE,"Chemical - Diversified","Basic Materials",N/A,N/A,N/A,N/A
DXC,"Dxc Technology Company",102.01,"Dxc Technology Company",NYSE,"IT Services","Computers and Technology",N/A,N/A,N/A,N/A
EA,"Electronic Arts Inc",123.64,"Electronic Arts Inc",NASDAQ,"Toys & Game & Hobby","Consumer Discretionary",N/A,N/A,N/A,N/A
EBAY,"Ebay Inc",38,"Ebay Inc",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
ECL,"Ecolab Inc",145.39,"Ecolab Inc",NYSE,"Chemical - Specialty","Basic Materials",N/A,N/A,N/A,N/A
ED,"Consolidated Edison Company of New York",79.25,"Consolidated Edison Company of New York",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
EFX,"Equifax Inc",112.46,"Equifax Inc",NYSE,"Financial Transaction Services","Business Services",N/A,N/A,N/A,N/A
EIX,"Edison International",63.69,"Edison International",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
EL,"Estee Lauder Companies",135.74,"Estee Lauder Companies",NYSE,"Cosmetics & Toiletries","Consumer Staples",N/A,N/A,N/A,N/A
EMN,"Eastman Chemical Company",104.8,"Eastman Chemical Company",NYSE,"Chemical - Diversified","Basic Materials",N/A,N/A,N/A,N/A
EMR,"Emerson Electric Company",68.42,"Emerson Electric Company",NYSE,"Machinery - Electrical","Industrial Products",N/A,N/A,N/A,N/A
EOG,"Eog Resources",114.66,"Eog Resources",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
EQIX,"Equinix Inc",403.88,"Equinix Inc",NASDAQ,"REIT - Equity Trust Retail",Finance,N/A,N/A,N/A,N/A
EQR,"Equity Residential",62.1,"Equity Residential",NYSE,"REIT - Equity Trust Resident",Finance,N/A,N/A,N/A,N/A
EQT,"Eqt Corp",48.63,"Eqt Corp",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
ES,"Eversource Energy",59.04,"Eversource Energy",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
ESRX,"Express Scripts",70.22,"Express Scripts",NASDAQ,"Medical Services",Medical,N/A,N/A,N/A,N/A
ESS,"Essex Property Trust",241.17,"Essex Property Trust",NYSE,"REIT - Equity Trust Resident",Finance,N/A,N/A,N/A,N/A
ETFC,"E*Trade Finl Corp",61.47,"E*Trade Finl Corp",NASDAQ,"Finance - Investment Brokers",Finance,N/A,N/A,N/A,N/A
ETN,"Eaton Corp",74.87,"Eaton Corp",NYSE,"Machinery - Electrical","Industrial Products",N/A,N/A,N/A,N/A
ETR,"Entergy Corp",82.2,"Entergy Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
EVHC,"Envision Healthcare Holdings",37.3,"Envision Healthcare Holdings",NYSE,"Medical - Outpatient & Hm Care",Medical,N/A,N/A,N/A,N/A
EW,"Edwards Lifesciences Corp",134.77,"Edwards Lifesciences Corp",NYSE,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
EXC,"Exelon Corp",41.08,"Exelon Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
EXPD,"Expeditors Intl",63.54,"Expeditors Intl",NASDAQ,"Transportation - Services",Transportation,N/A,N/A,N/A,N/A
EXPE,"Expedia Group Inc.",110.12,"Expedia Group Inc.",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
EXR,"Extra Space Storage Inc",92.19,"Extra Space Storage Inc",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
F,"Ford Motor Company",11.36,"Ford Motor Company",NYSE,"Auto - Domestic",Auto-Tires-Trucks,N/A,N/A,N/A,N/A
FAST,"Fastenal Co",50.65,"Fastenal Co",NASDAQ,"Building Prds Retail - Wsale",Retail-Wholesale,N/A,N/A,N/A,N/A
FB,"Facebook Inc",176.61,"Facebook Inc",NASDAQ,"Internet - Services","Computers and Technology",N/A,N/A,N/A,N/A
FBHS,"Fortune Brands Home & Security",55.36,"Fortune Brands Home & Security",NYSE,"Protection - Safety","Industrial Products",N/A,N/A,N/A,N/A
FCX,"Freeport-Mcmoran Inc",15.42,"Freeport-Mcmoran Inc",NYSE,"Mining - Non Ferrous","Basic Materials",N/A,N/A,N/A,N/A
FDX,"Fedex Corp",244.94,"Fedex Corp",NYSE,"Transportation - Air Freight",Transportation,N/A,N/A,N/A,N/A
FE,"Firstenergy Corp",34.11,"Firstenergy Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
FFIV,"F5 Networks Inc",168.13,"F5 Networks Inc",NASDAQ,"Internet - Software","Computers and Technology",N/A,N/A,N/A,N/A
FIS,"Fidelity National Information Services",100.66,"Fidelity National Information Services",NYSE,"Financial Transaction Services","Business Services",N/A,N/A,N/A,N/A
FISV,"Fiserv Inc",69.72,"Fiserv Inc",NASDAQ,"Financial Transaction Services","Business Services",N/A,N/A,N/A,N/A
FITB,"Fifth Third Bncp",32.63,"Fifth Third Bncp",NASDAQ,"Banks - Major Regional",Finance,N/A,N/A,N/A,N/A
FL,"Footlocker Inc",41.67,"Footlocker Inc",NYSE,"Retail - Apparel & Shoes",Retail-Wholesale,N/A,N/A,N/A,N/A
FLIR,"Flir Systems Inc",54.52,"Flir Systems Inc",NASDAQ,"Electronics - Military",Aerospace,N/A,N/A,N/A,N/A
FLR,"Fluor Corp",45.76,"Fluor Corp",NYSE,"Engineering & R&D Services","Industrial Products",N/A,N/A,N/A,N/A
FLS,"Flowserve Corp",45.74,"Flowserve Corp",NYSE,"Machinery - General Industrial","Industrial Products",N/A,N/A,N/A,N/A
FMC,"FMC Corp",87.43,"FMC Corp",NYSE,"Chemical - Diversified","Basic Materials",N/A,N/A,N/A,N/A
FOX,"21st Centry Fox Class B",37.16,"21st Centry Fox Class B",NASDAQ,"Movie & TV Production & Dist","Consumer Discretionary",N/A,N/A,N/A,N/A
FOXA,"21st Centry Fox Class A",37.66,"21st Centry Fox Class A",NASDAQ,"Movie & TV Production & Dist","Consumer Discretionary",N/A,N/A,N/A,N/A
FRT,"Federal Realty Investment Trust",118.73,"Federal Realty Investment Trust",NYSE,"REIT - Equity Trust Retail",Finance,N/A,N/A,N/A,N/A
FTI,"Technipfmc Plc",33.24,"Technipfmc Plc",NYSE,"Oil - Field Services",Oils-Energy,N/A,N/A,N/A,N/A
FTV,"Fortive Corp",73.29,"Fortive Corp",NYSE,"Electronic Test Equipment","Computers and Technology",N/A,N/A,N/A,N/A
GD,"General Dynamics Corp",195.07,"General Dynamics Corp",NYSE,"Aerospace - Defense",Aerospace,N/A,N/A,N/A,N/A
