VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	86841281
Shares Outstanding: 359234000
Expense Ratio: 0.04%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VOO


Holding,Symbol,Weighting
DaVita Inc,DVA,0.0409%
Torchmark Corp,TMK,0.0407%
CF Industries Holdings Inc,CF,0.0407%
Advanced Micro Devices Inc,AMD,0.0403%
Affiliated Managers Group Inc,AMG,0.04%
Unum Group,UNM,0.0395%
Western Union Co,WU,0.0395%
Pinnacle West Capital Corp,PNW,0.0394%
A. O. Smith Corp,AOS,0.0392%
Interpublic Group of Companies Inc,IPG,0.0391%
SL Green Realty Corp,SLG,0.0385%
Regency Centers Corp,REG,0.0385%
Advance Auto Parts Inc,AAP,0.0384%
Tractor Supply Co,TSCO,0.0384%
Juniper Networks Inc,JNPR,0.0383%
NiSource Inc,NI,0.0382%
Federal Realty Investment Trust,FRT,0.0382%
IPG Photonics Corp,IPGP,0.0375%
L Brands Inc,LB,0.0375%
Fortune Brands Home & Security Inc,FBHS,0.037%
Fluor Corp,FLR,0.0369%
Snap-On Inc,SNA,0.036%
PulteGroup Inc,PHM,0.0359%
AES Corp,AES,0.0359%
PerkinElmer Inc,PKI,0.0358%
News Corp,NWSA,0.0354%
Alaska Air Group Inc,ALK,0.0346%
Campbell Soup Co,CPB,0.0344%
Coty Inc,COTY,0.034%
Discovery Inc,DISCK,0.0339%
Pentair PLC,PNR,0.0338%
Robert Half International Inc,RHI,0.0337%
Leucadia National Corp,LUK,0.0337%
DISH Network Corp,DISH,0.0336%
Helmerich and Payne Inc,HP,0.0331%
FLIR Systems Inc,FLIR,0.033%
Arconic Inc,ARNC,0.0328%
Sealed Air Corp,SEE,0.0325%
Allegion PLC,ALLE,0.0323%
Garmin Ltd,GRMN,0.0308%
Jacobs Engineering Group Inc,JEC,0.0306%
Harley-Davidson Inc,HOG,0.0299%
Gap Inc,GPS,0.0284%
Apartment Investment and Management Co,AIV,0.0283%
Xerox Corp,XRX,0.0282%
People's United Financial Inc,PBCT,0.0281%
HanesBrands Inc,HBI,0.0277%
Macerich Co,MAC,0.0276%
Goodyear Tire & Rubber Co,GT,0.0272%
Kimco Realty Corp,KIM,0.0272%
Ralph Lauren Corp,RL,0.0264%
Flowserve Corp,FLS,0.0262%
Nordstrom Inc,JWN,0.0257%
Newfield Exploration Co,NFX,0.0249%
H & R Block Inc,HRB,0.0248%
Leggett & Platt Inc,LEG,0.0243%
Foot Locker Inc,FL,0.0233%
SCANA Corp,SCG,0.0231%
Stericycle Inc,SRCL,0.0226%
Quanta Services Inc,PWR,0.0223%
Mattel Inc,MAT,0.022%
Assurant Inc,AIZ,0.0208%
Brighthouse Financial Inc,BHF,0.0207%
Envision Healthcare Corp,EVHC,0.0206%
Acuity Brands Inc,AYI,0.0206%
TripAdvisor Inc,TRIP,0.0184%
Discovery Inc,DISCA,0.0164%
Navient Corp,NAVI,0.0156%
Under Armour Inc,UAA,0.0152%
Range Resources Corp,RRC,0.0139%
Under Armour Inc,UA,0.0135%
Cash Component,CASH,0.0074%
