VGK: Vanguard FTSE Europe ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18822011
Shares Outstanding: 318047000
Expense Ratio: 0.1%
Tracks This Index: FTSE Developed Europe Index
ETFdb.com Category: Europe Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGK


Holding,Symbol,Weighting
Davide Campari Milano SpA,CPR,0.0406%
Derwent London PLC,DLN,0.0405%
Helvetia Holding AG,HELN,0.0402%
Ocado Group PLC,OCDO,0.0402%
Jeronimo Martins SGPS SA,JMT,0.0402%
Travis Perkins PLC,TPK,0.04%
Intermediate Capital Group PLC,ICP,0.0399%
Beazley PLC,BEZ,0.0398%
NEX Group PLC,NXG,0.0396%
Amundi SA,AMUN,0.0396%
Ackermans & Van Haaren NV,ACKB,0.0394%
Phoenix Group Holdings,PHNX,0.0393%
Inchcape PLC,INCH,0.039%
CNP Assurances SA,CNP,0.0389%
IG Group Holdings PLC,IGG,0.0389%
Flughafen Zuerich AG,FHZN,0.0389%
Nibe Industrier AB,NIBE.B,0.0386%
IMI PLC,IMI,0.0385%
Howden Joinery Group PLC,HWDN,0.0384%
SSP Group PLC,SSPG,0.0383%
Cellnex Telecom SA,CLNX,0.0382%
AIB Group plc,A5G,0.0379%
Intesa Sanpaolo SpA,ISPR,0.0379%
Elekta AB (publ),EKTA.B,0.0378%
ConvaTec Group PLC,CTEC,0.0378%
Fuchs Petrolub SE,FPE3,0.0376%
Mapfre SA,MAP,0.0376%
Man Group PLC,EMG,0.0376%
BB Biotech AG,BION,0.0375%
Recordati Industria Chimica e Farmaceutica SpA,REC,0.0373%
Remy Cointreau SA,RCO,0.0373%
NMC Health PLC,NMC,0.0373%
Schibsted ASA,SCHA,0.0372%
Pennon Group PLC,PNN,0.0371%
Storebrand ASA,STB,0.037%
Rotork PLC,ROR,0.037%
Eutelsat Communications SA,ETL,0.037%
Cobham PLC,COB,0.0366%
Altran Technologies SA,ALT,0.0365%
Eurazeo SE,RF,0.0364%
Telecom Italia SpA,TITR,0.0364%
Kesko Oyj,KESKOB,0.0362%
Subsea 7 SA,SUBC,0.0362%
Galapagos NV,GLPG,0.0361%
Siemens Gamesa Renewable Energy SA,SGRE,0.0359%
Huhtamaki Oyj,HUH1V,0.0357%
Metso Oyj,METSO,0.0356%
Dechra Pharmaceuticals PLC,DPH,0.0356%
Tate & Lyle PLC,TATE,0.0353%
IMCD NV,IMCD,0.0352%
CYBG PLC,CYBG,0.0349%
Electrocomponents PLC,ECM,0.0348%
Jyske Bank A/S,JYSK,0.0347%
VAT Group AG,VACN,0.0346%
Aker BP ASA,AKERBP,0.0346%
PSP Swiss Property AG,PSPN,0.0346%
Husqvarna AB,HUSQ.B,0.0345%
Metro Bank PLC,MTRO,0.0345%
Axel Springer SE,SPR,0.0345%
Imerys SA,NK,0.0343%
Mediclinic International PLC,MDC,0.0342%
GVC Holdings PLC,GVC,0.0338%
TP ICAP PLC,TCAP,0.0338%
Merlin Entertainments PLC,MERL,0.0337%
Cineworld Group PLC,CINE,0.0337%
H Lundbeck A/S,LUN,0.0335%
Philips Lighting NV,LIGHT,0.0335%
Dassault Aviation SA,AM,0.0335%
Ablynx NV,ABLX,0.0334%
Cash Component,CASH,0.0333%
Royal Unibrew A/S,RBREW,0.0331%
BTG PLC,BTG,0.0331%
Fraport AG Frankfurt Airport Services Worldwide,FRA,0.033%
Biomerieux SA,BIM,0.0328%
Man SE,MAN,0.0328%
Pirelli & C SpA,PIRC,0.0325%
Etablissementen Franz Colruyt NV,COLR,0.0324%
TGS NOPEC Geophysical Company ASA,TGS,0.0323%
1&1 Drillisch AG,DRI,0.0323%
Swedish Orphan Biovitrum AB (publ),SOBI,0.0318%
Telefonica Deutschland Holding AG,O2D,0.0316%
Koninklijke Vopak NV,VPK,0.0315%
William Hill PLC,WMH,0.0314%
Glanbia PLC,GL9i,0.0313%
Unipol Gruppo SpA,UNI,0.0313%
Ambu A/S,AMBU.B,0.0311%
Icade SA,ICAD,0.0311%
Flsmidth & Co A/S,FLS,0.0311%
Inmobiliaria Colonial SOCIMI SA,COL,0.031%
Banco Comercial Portugues SA,BCP,0.0309%
Hays PLC,HAS,0.0309%
Andritz AG,ANDR,0.0308%
TKH Group NV,TWEKA,0.0307%
Schindler Holding AG,SCHN,0.0307%
Barry Callebaut AG,BARN,0.0305%
TAG Immobilien AG,TEG,0.0305%
Italgas SpA,IG,0.0304%
Grenke AG,GLJ,0.0304%
Casino Guichard Perrachon SA,CO,0.0303%
Aurubis AG,NDA,0.0303%
Orion Oyj,ORNBV,0.03%
Fresnillo PLC,FRES,0.0299%
OC Oerlikon Corporation AG Pfaeffikon,OERL,0.0297%
Aareal Bank AG,ARL,0.0297%
Proximus NV,PROX,0.0296%
Playtech PLC,PTEC,0.0296%
UDG Healthcare PLC,UDG,0.0294%
Wienerberger AG,WIE,0.0294%
EVRAZ plc,EVR,0.0293%
Sixt SE,SIX3,0.0293%
Com Hem Holding AB,COMH,0.0293%
Shaftesbury PLC,SHB,0.0293%
A2A SpA,A2A,0.0293%
RTL Group SA,RRTL,0.0292%
Meyer Burger Technology AG,MBTN,0.0292%
Galenica AG,GALE,0.0291%
Hera SpA,HER,0.0287%
Cembra Money Bank AG,CMBN,0.0286%
Alten SA,ATE,0.0286%
MorphoSys AG,MOR,0.0284%
Lamprell Plc,LAM,0.0283%
Fabege AB,FABG,0.0283%
Simcorp A/S,SIM,0.0283%
Siltronic AG,WAF,0.0283%
Distribuidora Internacional de Alimentacion SA,DIA,0.0282%
BUWOG AG,BWO,0.0281%
Wacker Chemie AG,WCH,0.0279%
Compagnie Plastic Omnium SA,POM,0.0279%
ASM International NV,ASM,0.0278%
Victrex PLC,VCT,0.0278%
Telenet Group Holding NV,TNET,0.0278%
HELLA GmbH & Co KgaA,HLE,0.0278%
Kaz Minerals PLC,KAZ,0.0278%
Konecranes Abp,KCR,0.0275%
Amer Sports Oyj,AMEAS,0.0275%
L E Lundbergforetagen AB (publ),LUND.B,0.0272%
Dometic Group AB (publ),DOM,0.027%
Banque Cantonale Vaudoise,BCVN,0.0269%
Immofinanz AG,IIA,0.0268%
Interpump Group SpA,IP,0.0268%
Sunrise Communications Group AG,SRCG,0.0267%
Yoox Net-A-Porter Group SpA,YNAP,0.0267%
Cofinimmo SA,COFB,0.0266%
