Symbol	Description
B61	Bukit Sembawang Estates Ltd
B66	Pt Berlian Laju Tanker Tbk
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B7K	Sin Ghee Huat Corporation Ltd.
B9S	Cosmosteel Holdings Limited
BABW	China Gaoxian Fibrefab W180918
BAC	Jacks International Limited
BAI	S I2i Limited
BAZ	Lion Asiapac Ltd
BBP	Hor Kew Corporation Limited
BBW	Azeus Systems Holdings Ltd.
BCD	China Yuanbang Prop Hldgs Ltd
BCV	Qian Hu Corporation Limited
BCY	Powermatic Data Systems Ltd
BCZ	Travelite Holdings Ltd.
BDA	Pne Industries Ltd
BDF	Excelpoint Technology Ltd
BDN	Ryobi Kiso Holdings Ltd.
BDR	Willas-array Elec (hldgs) Ltd
BDU	Federal Int(2000) Ltd
BDX	Gsh Corporation Limited
BEC	Brc Asia Limited
BEH	China International Hldgs Ltd
BEI	Lht Holdings Limited
BEV	Swing Media Technology Grp Ltd
BEW	Jb Foods Limited
BEYZ	Aspial Trea S$150m5.25%b200828
BEZ	Beng Kuang Marine Limited
BFI	Tiong Seng Holdings Limited
BFK	Pharmesis International Ltd.
BFT	Fabchem China Limited
BFU	Tye Soon Ltd
BGK	Swiber Holdings Limited
BGO	Universal Resource & Svcs Ltd
BHD	China Mining International Ltd
BHK	Siic Environment Holdings Ltd.
BHO	Top Global Limited
BHQ	Sunningdale Tech Ltd
BHU	Sutl Enterprise Limited
BIOZ	Perennial S$300m4.65%n181023
BIP	Vibrant Group Limited
BIX	Ellipsiz Ltd
BJD	Vibropower Corporation Limited
BJFZ	Oxley Mtn S$300m 5% B191105
BJGS	Na16100h 460301
BJHS	Nx16100f 260601
BJIS	Nz16100x 360801
BJJS	N516100z 211001
BJL	Longcheer Holdings Limited
BJV	Yamada Green Resources Limited
BJW	Shinvest Holding Ltd.
BJZ	Koda Ltd
BKA	Sin Heng Heavy Machinery Ltd
BKK	Luxking Group Holdings Limited
BKV	Dukang Distillers Hldgs Ltd
BKW	Datapulse Technology Limited
BKX	Yongmao Holdings Limited
BKY	Avi-tech Electronics Limited
BKZ	Suntar Eco-city Limited
BLA	Union Steel Holdings Limited
BLH	Hai Leck Holdings Limited
BLIW	Hai Leck Holdings W190513
BLL	Psl Holdings Ltd
BLR	Darco Water Technologies Ltd
BLS	Hotung Investment Hldgs Ltd
BLU	Grp Ltd
BLW	Global Palm Resources Hlgs Ltd
BLZ	Advanced Holdings Ltd.
BMA	Weiye Holdings Limited
BMGU	Bhg Retail Reit
BMH	Hupsteel Ltd
BMNW	Csc Holdings W201229
BMT	New Silkroutes Group Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BNE	Kencana Agri Limited
BOL	Memtech International Ltd
BOU	Informatics Education Ltd.
BPF	Yhi International Limited
BQC	Xpress Holdings Ltd
BQD	Envictus International Hldgltd
BQF	Xmh Holdings Ltd.
BQI	Asia Fashion Holdings Limited
BQM	Tiong Woon Corp Holding Ltd
BQN	Bh Global Corporation Limited
BQO	Delong Holdings Limited
BQP	Southern Packaging Group Ltd
BR9	China Hongxing Sports Limited
BRD	Sapphire Corporation Limited
BRE	Linc Energy Ltd
BRHW	New Silkroutes Group W190329
BRQZ	Aspial Trea S$200m5.3%b200401
BRR	The Stratech Group Limited
BRS	Usp Group Limited
BS6	Yangzijiang Shipbldg Hldgs Ltd
BSHW	Ezion Holdings W200424
BSKZ	Perennial S$280m4.55%n200429
BSL	Raffles Medical Group Ltd
BTE	Bund Center Investment Ltd
BTF	Debao Property Development Ltd
BTG	Hg Metal Manufacturing Ltd
BTJ	A-sonic Aerospace Limited
BTM	Penguin International Limited
BTNZ	Oxley Mtn S$150m 5.15%b200518
BTOU	Manulife Us Reit
BTP	Baker Technology Limited
BTWZ	Hyflux S$500m6%perpcapsec
BTX	Anchun International Hldgs Ltd
BTY	Full Apex (holdings) Limited
BUOU	Frasers Logistics & Ind Trust
BUPW	Soilbuild Construction W210715
BVA	Top Glove Corporation Bhd
BVP	Aims Property Securities Fund
BVQ	Procurri Corporation Limited
BWCU	Ec World Reit
BWM	China Jinjiang Env Hldg Co Ltd
BWQU	Frasers Logistics&ind Trustaud
BXE	Cdw Holding Limited
BXLW	Ramba Energy Limited W190918
BYI	Phillip Sgx Apac Div Reit Etf
BYJ	Phillip Sgx Apacdiv Reit Etfs$
BZKS	N517100f 220401
C04	Casa Holdings Limited
C05	Chemical Industries (f.e.) Ltd
C06	Csc Holdings Ltd
C07	Jardine Cycle & Carriage Ltd
C09	City Developments Limited
C13	Ch Offshore Ltd
c29	Chip Eng Seng Corporation Ltd
C2PU	Parkwaylife Reit
C31	Capitaland Limited
C33	Chuan Hup Holdings Limited
C38U	Capitamall Trust
C41	Cortina Holdings Limited
C50	Cheung Woh Technologies Ltd
C52	Comfortdelgro Corporation Ltd
C56	Celestial Nutrifoods Limited
C61U	Capitacommercial Trust
