IDENT,NAME,MGR,INFOS,SICOVAM,TYPE,LIMITE_PERTE,ENTITE,MARKET,QUOTATION,HEDGEFUND,CURRENCY,BUSINESS_LINE_ID,MARKED_AS_CLOSED
5818,ranli - New Issues,5370,,67425467,4,0,10000579,,,,0,,0
5819,ranli - Restructure - Corporate,5370,,67425467,4,0,10000579,,,,0,,0
5820,sguy KOSPI2 - 20100610 - jun10,7158,,67425490,4,0,10000579,,,,55923524,,0
5821,ranli - Hedge - Market Risk,5372,,67425467,4,0,10000579,,,,0,,0
5822,ranli - Hedge - Interest Rate Risk,5372,,67425467,4,0,10000579,,,,0,,0
5832,JUNE-10,4674,,67425466,4,0,10000579,,,,55923524,,0
5833,Collateral Movement,4407,,67425467,0,0,10000579,,,,0,,0
5834,Collateral Interest,4407,,67425987,0,0,10000579,,,,0,,0
5835,BNP,5833,,67425467,0,0,10000579,,,,0,,0
5836,2009-10-29,6774,,67425465,4,0,10000579,,,,55923524,,0
5837,2009-11-27,6774,,67425465,4,0,10000579,,,,55923524,,0
5838,2010-03-30,6774,,67425465,4,0,10000579,,,,55923524,,0
5839,NIP,5833,,67425467,0,0,10000579,,,,0,,0
5852,B Forex Hedge,4410,,67425467,4,0,10000579,,,,0,,0
5853,sguy KOSPI2 - 20100114 - jan10,5310,,67425490,4,0,10000579,,,,55923524,,0
5872,Barclays,5833,,67425467,0,0,10000579,,,,0,,0
5873,Societe Generale,5833,,67425467,0,0,10000579,,,,0,,0
5892,Macquarie,5833,,67425467,0,0,10000579,,,,0,,0
5912,2009-12-16,6917,,67425470,4,0,10000579,,,,55923524,,0
5932,Citigroup,5833,,67425467,0,0,10000579,,,,0,,0
5972,fx vol book old,11976,,67355002,4,0,10000579,,,,55923524,,0
5973,JPY,5972,,67355002,4,0,10000579,,,,55923524,,0
5974,KRW,5972,,67417078,4,0,10000579,,,,55923524,,0
5975,AUD,5972,,67421617,4,0,10000579,,,,0,,0
5976,AUG-11,5552,,67425466,4,0,10000579,,,,55923524,,0
5992,2009-12-30,6774,,67425465,4,0,10000579,,,,55923524,,0
6012,Conditional AS,4785,,67425467,4,0,10000579,,,,0,,0
6032,B Vietnam,4410,,67425467,4,0,10000579,,,,0,,0
6052,HSCEI,5050,,67425467,4,0,10000579,,,,0,,0
6092,sguy KOSPI2 - 20100211 - feb10,5310,,67425490,4,0,10000579,,,,55923524,,0
6112,UBS,5097,,67806894,4,0,10000579,,,,0,,0
6113,Borrow,6112,,67425467,4,0,10000579,,,,0,,0
6114,PTH,6112,,67425467,4,0,10000579,,,,0,,0
6115,NIP,5097,,67425467,4,0,10000579,,,,0,,0
6116,Borrow,6115,,67425467,4,0,10000579,,,,0,,0
6117,PTH,6115,,67425467,4,0,10000579,,,,0,,0
6118,MS,5097,,67425467,4,0,10000579,,,,0,,0
6119,PTH,6118,,67425467,4,0,10000579,,,,0,,0
6120,BNP,5097,,67425467,4,0,10000579,,,,0,,0
6121,PTH,6120,,67425467,4,0,10000579,,,,0,,0
6132,B Taiwan,4410,,67425467,4,0,10000579,,,,0,,0
6152,RBS,5097,,67425467,4,0,10000579,,,,0,,0
6153,PTH,6152,,67425467,4,0,10000579,,,,0,,0
6172,Goldman Sachs,5833,,67425467,0,0,10000579,,,,0,,0
6192,dehow - Nov09 PB Secured Funding,5090,,67425467,4,0,10000579,,,,0,,0
6193,dehow - Oct09 PB Secured Funding,5090,,67425467,4,0,0,,,,0,,0
6194,dehow - Oct09 Unsecured Funding,4944,,67425467,4,0,0,,,,0,,0
6195,dehow - Nov09 Unsecured Funding,4944,,67425467,4,0,0,,,,0,,0
6196,aseiz - Oct09 Unsecured Funding,5168,,67425467,4,0,0,,,,0,,0
6197,aseiz - Nov09 Unsecured Funding,5168,,67425467,4,0,10000579,,,,0,,0
6198,aseiz - Oct09 PB Secured Funding,5167,,67425467,4,0,0,,,,0,,0
6199,aseiz - Nov09 PB Secured Funding,5167,,67425467,4,0,0,,,,0,,0
6212,Merrill Lynch,5833,,67425467,0,0,0,,,,0,,0
6232,aseiz - Funding Charges,5091,,67425467,4,0,10000579,,,,0,,0
6233,asez - Dec09 Combined Funding,6232,,67425467,4,0,10000579,,,,0,,0
6234,Funding Charges,4411,,67425467,4,0,10000579,,,,0,,0
6235,Dec09 Combined Funding,6234,,67425467,4,0,10000579,,,,0,,0
6236,dehow - Funding Charges,4823,,67425467,4,0,10000579,,,,0,,0
6237,dehow - Dec09 Combined Funding,6236,,67425467,4,0,10000579,,,,0,,0
6252,TBA FLY,5165,,67425987,0,0,0,,,,0,,0
6272,sguy KOSPI2 - 20100311 - mar10 - VAR,5452,,67425490,4,0,10000579,,,,55923524,,0
6273,sguy KOSPI2 - 20100311 - mar10 - VAN,5452,,67425490,4,0,10000579,,,,55923524,,0
6274,sguy KOSPI2 - 20100610 - jun10 - VAN,5820,,67425490,4,0,10000579,,,,55923524,,0
6275,sguy KOSPI2 - 20100610 - jun10 - VAR,5820,,67425490,4,0,10000579,,,,55923524,,0
6292,Var Swaps,5592,,67425466,4,0,10000579,,,,55923524,,0
6293,Options & Futures,5592,,67425466,4,0,10000579,,,,55923524,,0
6294,Var Swaps,5612,,67425466,4,0,10000579,,,,55923524,,0
6295,Options & Futures,5612,,67425466,4,0,10000579,,,,55923524,,0
6296,Options & Futures,5838,,67425465,4,0,10000579,,,,55923524,,0
6297,Var Swaps,5838,,67425465,4,0,10000579,,,,55923524,,0
6312,Morgan Stanley,5833,,67425467,0,0,10000579,,,,0,,0
6332,2010-06-17,6917,,67425470,4,0,10000579,,,,55923524,,0
6333,2010-01-20,6917,,67425470,4,0,10000579,,,,55923524,,0
6352,SG,5097,,67425467,4,0,10000579,,,,0,,0
6353,PTH,6352,,67425467,4,0,10000579,,,,0,,0
6354,ML,5097,,67425467,4,0,10000579,,,,0,,0
6355,PTH,6354,,67425467,4,0,10000579,,,,0,,0
6372,sguy KOSPI2 - 20100311 - mar10 - VAN2,5452,,67425490,4,0,10000579,,,,55923524,,0
6373,dehow - Hedge - Interest Rate - Dur,5432,,67425467,4,0,10000579,,,,0,,0
6374,aseiz - Hedge - Interest Rate - Dur,5435,,67425467,4,0,10000579,,,,0,,0
6375,dehow - Hedge - Currency - EUR,5434,,67425467,4,0,10000579,,,,0,,0
6376,aseiz - Hedge - Currency - EUR,5437,,67425467,4,0,10000579,,,,0,,0
6392,Treasury  Fly,5165,,67425467,0,0,0,,,,0,,0
6393,payerj convexity,4665,,67425466,4,0,10000579,,,,0,,0
6432,Singapore Index,5373,,67425467,4,0,10000579,,,,0,,0
6433,DB,5097,,67425467,4,0,10000579,,,,0,,0
6452,2010-01-28,6773,,67425466,4,0,10000579,,,,55923524,,0
6472,JAN-11,5552,,67425466,4,0,10000579,,,,55923524,,0
6474,2010-01-28,6774,,67425465,4,0,10000579,,,,55923524,,0
6492,sguy KOSPI2 - 20100610 - jun10 - VAN2,5820,,67425490,4,0,10000579,,,,55923524,,0
6493,Credit Suisse Intl,5833,,67425467,0,0,10000579,,,,0,,0
6494,Daiwa,5833,,67425467,0,0,10000579,,,,0,,0
6495,HSBC,5833,,67425467,0,0,10000579,,,,0,,0
6497,dehow - Jan10 Combined Funding,6236,,67425467,4,0,10000579,,,,0,,0
6498,aseiz - Jan10 Combined Funding,6232,,67425467,4,0,10000579,,,,0,,0
6499,Jan10 Combined Funding,6234,,67425467,4,0,10000579,,,,0,,0
6500,ranli - Outright - Bank Capital,6501,,67425467,4,0,10000579,,,,0,,0
6501,ranli - Outright,5370,,67425467,4,0,10000579,,,,0,,0
6513,payerj Term Structure,4665,,67425464,4,0,10000579,,,,55923524,,0
6514,HSCEI,6513,,67425466,4,0,10000579,,,,55923524,,0
